,Estandar,precio,precio,precio
,,min,median,mean
231,Xiaomi Redmi Mi 11T,210000,245000.0,245000.0
232,Xiaomi Redmi Mi 11T Pro,130000,190000.0,190000.0
233,Xiaomi Redmi Mi 9,60000,125000.0,125000.0
234,Xiaomi Redmi Mi 9T,120000,125000.0,180000.0
235,Xiaomi Redmi Mi 9T Pro,200000,200000.0,200000.0
236,Xiaomi Redmi Mi A1,100000,100000.0,100000.0
237,Xiaomi Redmi Mi Mix 3,110000,130000.0,130000.0
238,Xiaomi Redmi Mi Note 10,200000,215000.0,215000.0
239,Xiaomi Redmi Mi Note 10 Lite,250000,250000.0,250000.0
240,Xiaomi Redmi Note 10,70000,120000.0,137875.0
241,Xiaomi Redmi Note 10 Lite,80000,80000.0,80000.0
242,Xiaomi Redmi Note 10 Pro,80000,150000.0,163913.0
243,Xiaomi Redmi Note 10S,70000,120000.0,142273.0
244,Xiaomi Redmi Note 11,60000,120000.0,140132.0
245,Xiaomi Redmi Note 11 Pro,55000,200000.0,198281.0
246,Xiaomi Redmi Note 11S,75000,135000.0,139286.0
247,Xiaomi Redmi Note 11T,130000,130000.0,130000.0
248,Xiaomi Redmi Note 11T Pro,215000,215000.0,215000.0
249,Xiaomi Redmi Note 12,100000,230000.0,251143.0
250,Xiaomi Redmi Note 12 Pro,85000,275000.0,312333.0
251,Xiaomi Redmi Note 15,220000,220000.0,220000.0
252,Xiaomi Redmi Note 6,130000,130000.0,130000.0
253,Xiaomi Redmi Note 7,180000,235000.0,235000.0
254,Xiaomi Redmi Note 8,60000,120000.0,166522.0
255,Xiaomi Redmi Note 8 Pro,70000,80000.0,103000.0
256,Xiaomi Redmi Note 9,58000,100000.0,158433.0
257,Xiaomi Redmi Note 9 Pro,60000,100000.0,129750.0
258,Xiaomi Redmi Note 9S,89990,125000.0,147272.0
259,Xiaomi Redmi Poco F3,60000,160000.0,198889.0
260,Xiaomi Redmi Poco F5 Pro,500000,500000.0,500000.0
261,Xiaomi Redmi Poco M3,65000,120000.0,168333.0
262,Xiaomi Redmi Poco M4 Pro,190000,190000.0,190000.0
263,Xiaomi Redmi Poco M5,85000,92500.0,92500.0
264,Xiaomi Redmi Poco X3,70000,115000.0,151818.0
265,Xiaomi Redmi Poco X3 Gt,350000,350000.0,350000.0
266,Xiaomi Redmi Poco X3 Pro,60000,150000.0,147764.0
267,Xiaomi Redmi Poco X4 Gt,590000,590000.0,590000.0
268,Xiaomi Redmi Poco X4 Pro,65000,150000.0,147500.0
269,Xiaomi Redmi Poco X5 Pro,130000,130000.0,130000.0
270,Xiaomi Redmi Shark 4,229990,290000.0,309993.0
271,Xiaomi Redmi Shark 4 Pro,549990,549990.0,549990.0
