titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Apx 1000 M3 Motorola,500000,15-05-2023,11:12:17,"Maipú, Región Metropolitana"
Dgp8550e vhf Motorola Mototrbo,170000,14-05-2023,15:00:19,"Maipú, Región Metropolitana"
Ep350 Motorola vhf,190000,14-05-2023,14:16:58,"Maipú, Región Metropolitana"
Pro 7150 Motorola vhf,160000,14-05-2023,12:57:41,"Maipú, Región Metropolitana"
Pro 5150 Motorola vhf,115000,14-05-2023,12:55:29,"Maipú, Región Metropolitana"
Motorola E32,250000,13-05-2023,16:22:18,"Vitacura, Región Metropolitana"
Dgp8550 uhf Motorola mototrbo,280000,13-05-2023,10:50:37,"Maipú, Región Metropolitana"
Dep550e Motorola vhf,300000,13-05-2023,10:11:46,"Maipú, Región Metropolitana"
Dgp6150 Motorola mototrbo vhf,250000,13-05-2023,10:09:58,"Maipú, Región Metropolitana"
Motorola Moto e22i casi nuevo,70000,12-05-2023,15:30:21,"Las Condes, Región Metropolitana"
Motorola e22i,85000,12-05-2023,14:25:42,"Ñuñoa, Región Metropolitana"
Motorola E22i,75000,11-05-2023,16:56:18,"Estación Central, Región Metropolitana"
Motorola g20 64 GB,40000,10-05-2023,19:41:28,"Santiago, Región Metropolitana"
Xtl2500 Motorola para Mineria,80000,10-05-2023,14:37:03,"Maipú, Región Metropolitana"
Xtl2500 Motorola para Mineria,6900,10-05-2023,14:21:52,"Maipú, Región Metropolitana"
Motorola por no uso nuevo,80000,10-05-2023,13:39:49,"Ñuñoa, Región Metropolitana"
Base Dock Cargador V8 Huawei Sony Motorola S7 S8 M,45000,09-05-2023,11:40:00,"Providencia, Región Metropolitana"
Motorola G9 Power,230000,09-05-2023,11:04:29,"Santiago, Región Metropolitana"
Celular moto x play impeque. motorola,60000,09-05-2023,05:39:07,"Las Condes, Región Metropolitana"
Motorola Edge 30 Neo ,510000,08-05-2023,20:42:36,"Santiago, Región Metropolitana"
Motorola G7 plus,210000,08-05-2023,14:56:03,"Quinta Normal, Región Metropolitana"
Xts1500 Motorola para Mineria,120000,08-05-2023,13:07:16,"Maipú, Región Metropolitana"
Dgp6150 Motorola vhf,260000,08-05-2023,12:48:25,"Maipú, Región Metropolitana"
