titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Huawei p40 nuevo dual sim liberado,200000,22-06-2023,18:14:15,"Providencia, Región Metropolitana"
Huawei novo9 se,90000,22-06-2023,07:51:47,"Estación Central, Región Metropolitana"
Huawei GT 2 nuevos sellados,65000,21-06-2023,20:22:16,"La Florida, Región Metropolitana"
Reloj Huawei watch GT 2e,60000,21-06-2023,11:36:28,"Cerrillos, Región Metropolitana"
Huawei Whatch Fit 2 Negro,80000,21-06-2023,11:03:58,"Ñuñoa, Región Metropolitana"
Celular HUAWEI P20 LITE,75000,20-06-2023,21:25:38,"Maipú, Región Metropolitana"
Huawei P Smart 2019,55000,20-06-2023,20:27:07,"Santiago, Región Metropolitana"
Huawei mate 20 lite,170000,20-06-2023,18:03:00,"Quilicura, Región Metropolitana"
Celular HUAWEI Mate10 Pro,20000,20-06-2023,10:14:14,"Pudahuel, Región Metropolitana"
Huawei mate 9 lite trizado,150000,20-06-2023,05:00:11,"Conchalí, Región Metropolitana"
Huawei P30 Lite 256 Gb Black 4g Leer Descripción,100000,19-06-2023,23:27:30,"Maipú, Región Metropolitana"
Huawei nova i8 128 gb,55000,19-06-2023,13:54:47,"Buin, Región Metropolitana"
Huawei watch GT-2,5000,19-06-2023,12:33:32,"Las Condes, Región Metropolitana"
Carcasas HUAWEI Y7P,100000,19-06-2023,04:09:37,"Santiago, Región Metropolitana"
Huawei Watch GT2 Pro,65000,19-06-2023,00:07:27,"Huechuraba, Región Metropolitana"
Huawei Y9 Prime 2019,140000,18-06-2023,21:37:16,"Puente Alto, Región Metropolitana"
Huawei Y9s (6 en ram y 128 en rom),65000,17-06-2023,15:28:33,"San Joaquín, Región Metropolitana"
Huawei P20 Lite,80000,16-06-2023,20:26:43,"Maipú, Región Metropolitana"
Celular Huawei,30000,16-06-2023,16:07:18,"Providencia, Región Metropolitana"
Huawei p20 lite,75000,16-06-2023,12:07:11,"Huechuraba, Región Metropolitana"
Celular Huawei mate 10pro,70000,15-06-2023,11:56:24,"La Florida, Región Metropolitana"
Huawei y9a,45000,15-06-2023,11:31:31,"San Bernardo, Región Metropolitana"
Reloj Huawei ,60000,14-06-2023,23:28:52,"Ñuñoa, Región Metropolitana"
Huawei p40 lite,69990,14-06-2023,22:22:35,"Estación Central, Región Metropolitana"
SMARTWATCH HUAWEI WATCH FIT 2 NEGRO Sellado,100000,14-06-2023,20:21:57,"Santiago, Región Metropolitana"
HUAWEI NOVA 9 se,45000,13-06-2023,21:58:42,"Providencia, Región Metropolitana"
teléfono Huawei en perfecto estado,80000,13-06-2023,21:49:58,"San Joaquín, Región Metropolitana"
Huawei Watch gt2,35000,13-06-2023,19:34:04,"Colina, Región Metropolitana"
Huawei Watch GT 2e,85000,13-06-2023,16:06:24,"Santiago, Región Metropolitana"
Smartphone Huawei Y5p,150000,13-06-2023,11:54:37,"Providencia, Región Metropolitana"
Huawei mate 20 Pro,100000,12-06-2023,18:39:14,"La Reina, Región Metropolitana"
Huawei Y9 prime usado buen estado,50000,12-06-2023,18:38:44,"Puente Alto, Región Metropolitana"
Reloj Huawei WATCH fit,60000,12-06-2023,16:17:34,"Lo Barnechea, Región Metropolitana"
Huawei Watch Fit Elegant,50000,11-06-2023,23:01:44,"Conchalí, Región Metropolitana"
Huawei y9 prime,50000,11-06-2023,15:00:44,"San Bernardo, Región Metropolitana"
Celular smart p20 huawei,170000,11-06-2023,13:35:59,"Quilicura, Región Metropolitana"
Huawei p30 Lite 250gb,30000,10-06-2023,21:26:56,"Conchalí, Región Metropolitana"
Celular barato huawei y6 2019,5900,10-06-2023,13:23:14,"Maipú, Región Metropolitana"
Lente Cristal Camara Huawei Mate 10 Lite,9800,08-06-2023,13:24:53,"Providencia, Región Metropolitana"
Flex de carga huawei mate 10 lite,6900,08-06-2023,12:37:53,"Providencia, Región Metropolitana"
Celular Huawei P30 Lite 128GB excelente estado,65000,07-06-2023,21:56:42,"Providencia, Región Metropolitana"
Celular Huawei P20 Lite Usado en excelente estado,80000,07-06-2023,19:44:58,"Santiago, Región Metropolitana"
Huawei Y6 2018,17000,06-06-2023,19:23:23,"La Florida, Región Metropolitana"
Teléfono Huawei 2019,20000,06-06-2023,18:03:45,"La Florida, Región Metropolitana"
Huawei p30 pro,200000,06-06-2023,16:52:30,"Peñalolén, Región Metropolitana"
Smartwatch Huawei Watch GT 2 Pro,130000,04-06-2023,20:39:02,"La Florida, Región Metropolitana"
Huawei p9,95000,04-06-2023,16:11:16,"San Miguel, Región Metropolitana"
Celular Hawei Y9s Ram6gb Negro,140000,04-06-2023,12:48:37,"Santiago, Región Metropolitana"
Huawei Nova 9 SE,180000,03-06-2023,21:19:44,"Pudahuel, Región Metropolitana"
Teléfono celular Huawei,100000,03-06-2023,19:34:52,"Huechuraba, Región Metropolitana"
