titulo,precio,fecha_publicacion,hora_publicacion,lugar_venta
Xiaomi Redmi Note 8 64Gb,250000,05-07-2023,19:27:25,"Recoleta, Región Metropolitana"
Xiaomi Redmi 11pro 5g 128gb,80000,05-07-2023,18:23:48,"Providencia, Región Metropolitana"
Smartwatch Xiaomi Watch S1 Active,250000,05-07-2023,11:22:30,"Santiago, Región Metropolitana"
Xiaomi 11 T pro,5000,05-07-2023,01:19:00,"La Florida, Región Metropolitana"
Carcasa Xiaomi Redmi Note 9/9s/9 Pro/9 Pro Max,65000,04-07-2023,18:38:00,"La Florida, Región Metropolitana"
Xiaomi Redmi 9C-128 GB,60000,04-07-2023,17:24:43,"Cerro Navia, Región Metropolitana"
Xiaomi Redmi Note 9S,25000,03-07-2023,17:18:19,"Peñalolén, Región Metropolitana"
Xiaomi A9 Usado + Cargador,120000,03-07-2023,15:31:13,"Maipú, Región Metropolitana"
Xiaomi Note11S 5G,200000,03-07-2023,05:02:37,"Puente Alto, Región Metropolitana"
Celular Redmi 12 S Xiaomi,260,02-07-2023,15:50:35,"Vitacura, Región Metropolitana"
Xiaomi mi 11 Impeque sin detalles,95000,30-06-2023,21:29:41,"Quinta Normal, Región Metropolitana"
Xiaomi 12,260000,30-06-2023,16:35:17,"Santiago, Región Metropolitana"
Xiaomi Mi 11,250000,30-06-2023,15:08:11,"Pudahuel, Región Metropolitana"
Xiaomi Redmi 9T,65000,29-06-2023,20:47:06,"Maipú, Región Metropolitana"
Xiaomi 11 lite en excelente estado,120000,29-06-2023,20:01:37,"Maipú, Región Metropolitana"
Reloj Smartwach Xiaomi,25000,29-06-2023,19:48:01,"La Granja, Región Metropolitana"
Xiaomi Redmi Note 8 64 GB,70000,29-06-2023,09:16:14,"Pirque, Región Metropolitana"
Xiaomi Redmi 9A,55000,28-06-2023,15:32:53,"La Florida, Región Metropolitana"
Carcasa xiaomo Rm Note 9t,5000,28-06-2023,02:39:58,"Recoleta, Región Metropolitana"
Xaomi redmi note 10 5G,95000,27-06-2023,17:37:55,"San Bernardo, Región Metropolitana"
Xiaomi 11 t pro usando pero en buen estado,330000,26-06-2023,21:30:07,"Quinta Normal, Región Metropolitana"
Xiaomi Redmi Note 12 pro +,120000,26-06-2023,16:34:54,"Maipú, Región Metropolitana"
Xiaomi redminote 10pro,12000,26-06-2023,15:50:17,"Puente Alto, Región Metropolitana"
Audífonos Xiaomi Mi True Wireless InEar 2Basic,230000,26-06-2023,13:28:47,"Quilicura, Región Metropolitana"
Xiaomi 11 T 256gb,100000,26-06-2023,05:36:21,"Maipú, Región Metropolitana"
